can_nam	vote_percent	tot_rec
"PETERSON, COLLIN CLARK"	66.96	724220.03
"BARROW, JOHN J."	68.77	1495819.58
"COSTA, JIM"	72.98	746988
"JONES, WALTER B."	74	273923.61
"BARBER, RONALD"	74.42	1162723.08
"GIBSON, CHRISTOPHER P"	75.72	982605.13
"RAHALL, NICK J. II"	76.06	911917.39
"MAFFEI, DANIEL BENJAMIN MR."	77.57	1160046.95
"CUELLAR, HENRY R."	77.82	774501.62
"AMASH, JUSTIN"	78.31	1070431.53
"GALLEGO, PETE"	80.3	967982.19
"SINEMA, KYRSTEN"	80.8	1397000.44
"PETERS, SCOTT"	81.53	1386465.48
"MALONEY, SEAN PATRICK"	81.86	1746078.5
"GREEN, RAYMOND E. 'GENE'"	82.25	585382.11
"MURPHY, PATRICK"	82.37	2136664.33
"SCHRADER, KURT"	82.79	754000.99
"GARCIA, JOE"	83.4	1813377.09
"MASSIE, THOMAS H"	83.62	353367.7
"RUIZ, RAUL DR."	84.4	1504150.14
"FITZPATRICK, MICHAEL G."	85	1615076.12
"BISHOP, SANFORD D JR"	85.11	616602.85
"VELA, FILEMON MR."	85.18	380979.72
"KIRKPATRICK, ANN"	85.34	1190694.9
"LIPINSKI, DANIEL WILLIAM WILLIAM"	85.77	429376.5
"LOBIONDO, FRANK A."	86.18	828885.44
"COOPER, JAMES H.S."	87.23	385306.36
"BUSTOS, CHERI"	87.56	1232714.54
"HANNA, RICHARD"	87.66	637094.2
"HERRERA BEUTLER, JAIME"	87.68	999433.12
"DUNCAN, JOHN J REP. JR."	87.73	171715.28
"FOSTER, G. WILLIAM (BILL)"	87.77	1228930.97
"BERA, AMERISH"	87.8	1378333.65
"VISCLOSKY, PETER J."	88.26	481246.77
"GOHMERT, LOUIE"	88.45	471064.31
"RYAN, TIMOTHY J."	88.45	476022.76
"DUCKWORTH, L. TAMMY"	88.51	1314921.65
"SCHNEIDER, BRADLEY SCOTT"	88.52	1682473.06
"ENYART, WILLIAM L. JR."	88.61	860427
"LANCE, LEONARD"	88.72	492042.61
"POLIS, JARED"	88.74	424178.04
"KILMER, DEREK"	88.97	1023196.29
"KIND, RONALD JAMES"	89.13	1027390.77
"DEFAZIO, PETER A."	89.14	456313.11
"NOLAN, RICHARD MICHAEL"	89.2	531338
"GARAMENDI, JOHN"	89.28	598538.33
"YOUNG, DONALD E"	89.43	486128.08
"GRIMM, MICHAEL"	89.6	1440141.66
"SLAUGHTER, LOUISE MCINTOSH"	89.61	510455.13
"HUELSKAMP, TIMOTHY A REPRESENTA"	89.71	456654.51
"ROHRABACHER, DANA"	89.72	416480.3
"REICHERT, DAVE"	89.8	534234.48
"POE, TED"	89.82	504170.29
"SEWELL, TERRI A."	89.86	680436.37
"KING, PETER T. HON."	89.87	592301.69
"JOYCE, DAVID P"	89.94	1477819.7
"LEE, BARBARA"	90.06	505562.3
"RUSH, BOBBY LEE"	90.06	211401
"PERLMUTTER, EDWIN G"	90.13	966520.66
"THOMPSON, MIKE MR."	90.15	848488.93
"BENISHEK, DANIEL J. M.D."	90.2	834669.96
"DAVIS, RODNEY L"	90.25	1774395.78
"THOMPSON, BENNIE G."	90.27	591067.32
"VALADAO, DAVID"	90.27	941777.87
"CONYERS, JOHN JR."	90.34	341866.25
"LOEBSACK, DAVID WAYNE"	90.35	544282.25
"REED, THOMAS W II"	90.37	1488633.73
"SCHAKOWSKY, JANICE D"	90.39	760454.91
"BISHOP, TIMOTHY"	90.4	1000197.87
"RICHMOND, CEDRIC L"	90.44	631002.25
"HECK, JOE"	90.46	1117768.42
"CAPUANO, MICHAEL E"	90.48	270478.59
"MCGOVERN, JIM"	90.6	466257.76
"WALZ, TIMOTHY J."	90.61	637566.03
"WOODALL, ROB REP."	90.64	161290
"MULVANEY, JOHN MICHAEL 'MICK'"	90.69	479726.9
"DENT, CHARLES W REP"	90.71	715843.63
"HONDA, MIKE"	90.73	1210204.96
"VEASEY, MARC ALLISON MR."	90.84	810337.19
"LUMMIS, CYNTHIA MARIE"	90.9	174367.64
"MCDERMOTT, JAMES"	91.03	223469.14
"GRIFFITH, H MORGAN"	91.06	429963.47
"ISRAEL, STEVE J."	91.08	1894063.75
"GRAVES, JOHN THOMAS MR. JR."	91.1	509397.26
"BURGESS, MICHAEL C. DR."	91.11	613280.05
"HINOJOSA, RUBEN E."	91.12	191295.22
"DENHAM, JEFF"	91.13	1380477.74
"JOHNSON, EDDIE BERNICE"	91.15	245326.47
"SARBANES, JOHN PETER SPYROS"	91.15	618154.37
"SALMON, MATT"	91.19	486502.15
"SMITH, CHRISTOPHER H."	91.2	203895.89
"SANCHEZ, LORETTA"	91.22	527030.76
"TURNER, MICHAEL R REP"	91.26	411399.17
"PAULSEN, ERIK"	91.29	1527967.32
"MEEHAN, PATRICK L. MR."	91.3	1052289.47
"RIGELL, EDWARD SCOTT MR."	91.34	835787.65
"CONNOLLY, GERALD EDWARD"	91.36	990738.17
"MCNERNEY, JERRY"	91.41	576697.86
"FOXX, VIRGINIA ANN"	91.42	641185.28
"GREEN, ALEXANDER"	91.42	212026.2
"LOFGREN, ZOE"	91.44	535116.6
"GRISHAM, MICHELLE LUJAN"	91.48	865251.99
"HIMES, JIM"	91.51	1210782.83
"COURTNEY, JOSEPH D"	91.54	697608.37
"KINZINGER, ADAM"	91.54	1094613.25
"DELANEY, JOHN K"	91.56	577984.74
"GABBARD, TULSI"	91.59	831028.38
"MCCLINTOCK, THOMAS"	91.61	567336.88
"HOYER, STENY HAMILTON"	91.62	2022791.54
"VELAZQUEZ, NYDIA"	91.7	546610.7
"JORDAN, JAMES D."	91.71	480271.74
"HUDSON, RICHARD L. JR."	91.74	784374.84
"STIVERS, STEVE MR."	91.79	1326150.18
"CARSON, ANDRE"	91.81	530933.46
"CLARKE, YVETTE D"	91.84	287302.68
"GRIJALVA, RAUL M"	91.84	317508.55
"PALLONE, FRANK JR"	91.87	1571545.21
"TERRY, LEE"	91.89	1186801.55
"SWALWELL, ERIC MICHAEL"	91.9	1056562.11
"PEARCE, STEVAN E."	91.93	786687.83
"RIBBLE, REID J. REP."	91.96	896565.75
"COFFMAN, MICHAEL"	92.01	2014506.89
"BROWNLEY, JULIA"	92.03	1098883.85
"BYRNE, BRADLEY ROBERTS"	92.03	1276649.1
"BENTIVOLIO, KERRY"	92.04	391464.17
"DUNCAN, JEFFREY D MR."	92.06	265161.15
"CROWLEY, JOSEPH"	92.08	1651187.38
"CASTOR, KATHY"	92.09	346782.07
"LEE, SHEILA JACKSON"	92.12	233340
"YOHO, THEODORE SCOTT MR."	92.13	301814.55
"SANCHEZ, LINDA"	92.15	629315.81
"SMITH, D ADAM"	92.16	514064.09
"JENKINS, LYNN"	92.18	1098433.31
"LABRADOR, RAUL R. REP."	92.22	217372.7
"MARCHANT, KENNY E MR."	92.26	398525.48
"COHEN, STEPHEN IRA"	92.27	224799.08
"MATSUI, DORIS"	92.27	575092.13
"CLYBURN, JAMES E."	92.28	1051180.14
"ROONEY, TOM MR."	92.29	254404.38
"EDWARDS, DONNA FERN"	92.3	259292.56
"TIPTON, SCOTT R."	92.33	659509.46
"MCCOLLUM, BETTY"	92.34	352995.21
"PRICE, THOMAS EDMUNDS"	92.36	1375427.68
"VARGAS, JUAN C."	92.37	331161.96
"JOHNSON, HENRY C 'HANK'"	92.41	238926.94
"KEATING, WILLIAM RICHARD"	92.41	334246.53
"SENSENBRENNER, F. JAMES JR."	92.41	195449.19
"BASS, KAREN"	92.44	426309
"BRADY, ROBERT A"	92.45	277576.44
"MOORE, GWEN S"	92.45	464494.7
"MCALLISTER, VANCE MICHAEL"	92.47	894650.28
"DELBENE, SUZAN K"	92.49	969111.77
"BRIDENSTINE, JAMES FREDERICK"	92.51	424403.2
"CARDENAS, TONY"	92.51	518588.27
"POSEY, BILL"	92.53	432123.44
"FUDGE, MARCIA L"	92.55	473660.52
"PETRI, THOMAS"	92.55	382924.53
"ROS-LEHTINEN, ILEANA"	92.58	510685.87
"TIERNEY, JOHN F"	92.59	958120.04
"LEWIS, JOHN R."	92.63	281907.32
"LUJAN, BEN R MR."	92.64	559190.48
"RUPPERSBERGER, C.A. DUTCH"	92.64	519002.88
"GOSAR, PAUL ANTHONY"	92.68	291965.84
"ESTY, ELIZABETH"	92.7	1135599.83
"SIRES, ALBIO"	92.7	330642.15
"DUFFY, SEAN"	92.74	1140339.66
"FRELINGHUYSEN, RODNEY P."	92.76	424022.93
"GARRETT, SCOTT REP."	92.84	970446.96
"GRAYSON, ALAN MARK"	92.84	1007498.81
"LANGEVIN, JAMES R. HONORABLE"	92.85	587605.23
"COLLINS, DOUGLAS ALLEN"	92.88	445413.88
"MILLER, JEFFERSON B."	92.88	187463
"DESANTIS, RONALD D"	92.91	628720.24
"ELLISON, KEITH MAURICE"	92.91	878256.24
"THOMPSON, GLENN MR"	92.91	613544.4
"KAPTUR, MARCY C HON."	92.95	311242.46
"YODER, KEVIN"	92.99	1192839.55
"WEBER, RANDY"	93.02	443186.18
"RENACCI, JAMES B"	93.03	1064530.39
"BUTTERFIELD, G K"	93.04	418714.79
"GRAVES, SAMUEL B SAM"""""	93.04	536214.93
"WATERS, MAXINE MS"	93.11	572105.45
"HUIZENGA, WILLIAM P THE HON."	93.13	669257.44
"NUGENT, RICHARD B"	93.15	162093.11
"WASSERMAN SCHULTZ, DEBBIE"	93.17	1054794.63
"HOLDING, GEORGE E. B. MR."	93.19	649295.54
"JEFFRIES, HAKEEM"	93.2	574868.25
"PITTENGER, ROBERT M. THE HON."	93.22	507400.44
"CARNEY, JOHN"	93.23	527514.8
"SHERMAN, BRAD"	93.24	680019.37
"WITTMAN, ROBERT J."	93.28	544697.68
"SCOTT, DAVID ALBERT"	93.32	418923.67
"LARSEN, RICK"	93.34	453594.99
"CONAWAY, MICHAEL HONORABLE"	93.35	1286668.24
"BROOKS, MO"	93.36	208670
"BLUMENAUER, EARL"	93.37	535704.45
"JOHNSON, BILL"	93.42	980180.46
"GUTIERREZ, LUIS V"	93.48	109922.79
"FARR, SAM"	93.49	374278.49
"HUFFMAN, JARED MR"	93.49	632372.87
"NAPOLITANO, GRACE"	93.49	147978.83
"CHU, JUDY"	93.51	537334.88
"LEVIN, SANDER M MR"	93.54	750695.99
"CHAFFETZ, JASON"	93.55	394429.85
"SPEIER, JACKIE"	93.55	502382.78
"DOGGETT, LLOYD"	93.56	479076.23
"WALBERG, TIMOTHY L HON."	93.57	713194.63
"WELCH, PETER"	93.58	520814.73
"MENG, GRACE"	93.66	427722.52
"NEAL, RICHARD E MR."	93.66	854866.96
"PAYNE, DONALD M., JR."	93.69	248142.54
"KUSTER, ANN MCLANE"	93.7	1337688.87
"MALONEY, CAROLYN B."	93.77	701466.16
"FLEMING, JOHN C MR. JR."	93.79	698596.19
"TIBERI, PATRICK J."	93.87	1748078.45
"FLORES, BILL"	93.89	951260.12
"LOWEY, NITA M"	93.89	923122.97
"CRAMER, KEVIN MR."	93.9	463198.3
"SCHWEIKERT, DAVID"	93.92	666084.61
"HASTINGS, ALCEE L"	93.94	311810.2
"HORSFORD, STEVEN ALEXZANDER"	93.94	622942.29
"SCHOCK, AARON JON MR."	93.96	1574121.13
"DIAZ-BALART, MARIO"	93.98	438895.86
"MEEKS, GREGORY W."	94.01	415969.43
"HECK, DENNIS"	94.04	816155.64
"O'ROURKE, ROBERT (BETO)"	94.04	365426.56
"PINGREE, CHELLIE M"	94.04	171029.74
"CASTRO, JOAQUIN MR."	94.05	685030.17
